dataset,geno,sex,treat,syp
Madeleine,msh5/ccw66,herm,HS,398.41530934908417
Madeleine,msh5/ccw66,herm,HS,295.9580527652059
Madeleine,msh5/ccw66,herm,HS,166.6604538870111
Madeleine,msh5/ccw66,herm,HS,229.29641096204563
Madeleine,msh5/ccw66,herm,HS,212.72557415336703
Madeleine,msh5/ccw66,herm,HS,204.38325374084687
Madeleine,msh5/ccw66,herm,HS,259.8809171597633
Madeleine,msh5/ccw66,herm,HS,259.2510893246188
Madeleine,msh5/ccw66,herm,HS,351.759470393527
Madeleine,msh5/ccw66,herm,HS,297.91681777846367
Madeleine,msh5/ccw66,herm,HS,212.6364388092613
Madeleine,msh5/ccw66,herm,HS,170.452551477171
Madeleine,msh5/ccw66,herm,HS,170.13265402396453
Madeleine,msh5/ccw66,herm,HS,230.6755045508508
Madeleine,msh5/ccw66,herm,HS,170.1934252386002
Madeleine,msh5/ccw66,herm,HS,244.55712431871268
Madeleine,msh5/ccw66,herm,HS,169.99848156182213
Madeleine,msh5/ccw66,herm,HS,165.20491803278688
Madeleine,msh5/ccw66,herm,HS,170.0430473372781
Madeleine,msh5/ccw66,herm,HS,186.04580413604512
Madeleine,msh5/ccw66,herm,HS,326.4841378811967
Madeleine,msh5/ccw66,herm,HS,259.9834304746045
Madeleine,msh5/ccw66,herm,HS,195.05624273178984
Madeleine,msh5/ccw66,herm,HS,306.16634934691166
Madeleine,msh5/ccw66,herm,HS,367.8046872130184
Madeleine,msh5/ccw66,herm,HS,281.3681292354028
Madeleine,msh5/ccw66,herm,HS,232.6012515387772
Madeleine,msh5/ccw66,herm,HS,248.98405400117397
Madeleine,msh5/ccw66,herm,HS,249.71307349943845
Madeleine,msh5/ccw66,herm,HS,355.5927277642606
Madeleine,msh5/ccw66,herm,HS,199.39722288723965
Madeleine,msh5/ccw66,herm,HS,277.34930453504666
Madeleine,msh5/ccw66,herm,HS,254.894248395967
Madeleine,msh5/ccw66,herm,HS,254.44909484010452
Madeleine,msh5/ccw66,herm,HS,266.9831258112591
Madeleine,msh5/ccw66,herm,HS,274.50994283480725
Madeleine,msh5/ccw66,herm,HS,315.09057534246574
Madeleine,msh5/ccw66,herm,HS,176.10392881128274
Madeleine,msh5/ccw66,herm,HS,186.3434286360041
Madeleine,msh5/ccw66,herm,HS,170.11668167717403
Madeleine,msh5/ccw66,herm,HS,173.65007112375534
Madeleine,msh5/ccw66,herm,HS,167.6626681965161
Madeleine,msh5/ccw66,herm,HS,186.107819453274
Madeleine,msh5/ccw66,herm,HS,176.25855544587034
Madeleine,msh5/ccw66,herm,HS,168.73894173053836
Madeleine,msh5/ccw66,herm,HS,179.48406512086828
Madeleine,msh5/ccw66,herm,HS,255.7603419746277
Madeleine,msh5/ccw66,herm,HS,276.7633280757097
Madeleine,msh5/ccw66,herm,HS,300.8383690231739
Madeleine,msh5/ccw66,herm,HS,245.17615228900652
Madeleine,msh5/ccw66,herm,HS,345.28184571530375
Madeleine,msh5/ccw66,herm,HS,288.01373699653243
Madeleine,msh5/ccw66,herm,HS,264.2024898285635
Madeleine,msh5/ccw66,herm,HS,352.53026713801523
Madeleine,msh5/ccw66,herm,HS,281.86891640423704
Madeleine,msh5/ccw66,herm,HS,289.1021836840221
Madeleine,msh5/ccw66,herm,HS,427.0730491741029
Madeleine,msh5/ccw66,herm,HS,307.08537967510387
Madeleine,msh5/ccw66,herm,HS,170.7448782061623
Madeleine,msh5/ccw66,herm,HS,180.1025122239083
Madeleine,msh5/ccw66,herm,HS,293.642590887164
Madeleine,msh5/ccw66,herm,HS,288.9134724320241
Madeleine,msh5/ccw66,herm,HS,174.32139483627205
Madeleine,msh5/ccw66,herm,HS,287.3895508707608
Madeleine,msh5/ccw66,herm,HS,308.6529469871584
Madeleine,msh5/ccw66,herm,HS,329.04090445921685
Madeleine,msh5/ccw66,herm,HS,169.57276106792835
Madeleine,msh5/ccw66,herm,HS,184.24761780446417
Madeleine,msh5/ccw66,herm,HS,247.64462581269885
Madeleine,msh5/ccw66,herm,HS,216.0962430305873
Madeleine,msh5/ccw66,herm,HS,273.72155487962056
Madeleine,msh5/ccw66,herm,HS,204.58106988306787
Madeleine,msh5/ccw66,herm,HS,236.90545598911072
Madeleine,msh5/ccw66,herm,HS,203.03057464943635
Madeleine,msh5/ccw66,herm,HS,226.1560448498228
Madeleine,msh5/ccw66,herm,HS,185.09679286789395
Madeleine,msh5/ccw66,herm,HS,216.87823439878235
Madeleine,msh5/ccw66,herm,HS,192.76088295687885
Madeleine,msh5/ccw66,herm,HS,173.8092346025072
Madeleine,msh5/ccw66,herm,HS,219.81221572449644
Madeleine,msh5/ccw66,herm,HS,216.2489265536723
Madeleine,msh5/ccw66,herm,HS,307.763755843986
Madeleine,msh5/ccw66,herm,HS,266.62536201104376
Madeleine,msh5/ccw66,herm,HS,170.99603552172533
Madeleine,msh5/ccw66,herm,HS,331.5952043132804
Madeleine,msh5/ccw66,herm,HS,266.19822299103635
Madeleine,msh5/ccw66,herm,HS,280.5452082778222
Madeleine,msh5/ccw66,herm,HS,259.35092520730365
Madeleine,msh5/ccw66,herm,HS,185.3802680132065
Madeleine,msh5/ccw66,herm,HS,225.6192971424579
Madeleine,msh5/ccw66,herm,HS,258.0850421508316
Madeleine,msh5/ccw66,herm,HS,199.8531623931624
Madeleine,msh5/ccw66,herm,HS,214.05969094030905
Madeleine,msh5/ccw66,herm,HS,161.94671985815603
Madeleine,msh5/ccw66,herm,HS,233.68573452999527
Madeleine,msh5/ccw66,herm,HS,201.2412494993993
Madeleine,msh5/ccw66,herm,HS,165.06604392002623
Madeleine,msh5/ccw66,herm,HS,178.18108793686585
Madeleine,msh5/ccw66,herm,HS,182.98839576547232
Madeleine,msh5/ccw66,herm,HS,221.56326268465
Madeleine,msh5/ccw66,herm,HS,201.3972826976592
Madeleine,msh5/ccw66,herm,HS,324.1598927896656
Madeleine,msh5/ccw66,herm,HS,302.6673596673597
Madeleine,msh5/ccw66,herm,HS,276.9913904712584
Madeleine,msh5/ccw66,herm,HS,301.3419063270337
Madeleine,msh5/ccw66,herm,HS,213.9669763341697
Madeleine,msh5/ccw66,herm,HS,185.08824806740208
Madeleine,msh5/ccw66,herm,HS,176.06437318723815
Madeleine,msh5/ccw66,herm,HS,212.48759533619707
Madeleine,msh5/ccw66,herm,HS,171.29293490335482
Madeleine,msh5/ccw66,herm,HS,169.17024306874288
Madeleine,msh5/ccw66,herm,HS,224.464799573687
Madeleine,msh5/ccw66,herm,HS,229.8389314256972
Madeleine,msh5/ccw66,herm,HS,260.0816741597088
Madeleine,msh5/ccw66,herm,HS,183.24366937410412
Madeleine,msh5/ccw66,herm,HS,200.94772630684236
Madeleine,msh5/ccw66,herm,HS,163.31042456757007
Madeleine,msh5/ccw66,herm,HS,169.9586081794195
Madeleine,msh5/ccw66,herm,HS,195.91298449612404
Madeleine,msh5/ccw66,herm,HS,202.31082516084703
Madeleine,msh5/ccw66,herm,HS,208.2612866438586
Madeleine,msh5/ccw66,herm,HS,167.26456287539327
Madeleine,msh5/ccw66,herm,HS,172.94291530223913
Madeleine,msh5/ccw66,herm,HS,167.96890616324265
Madeleine,msh5/ccw66,herm,HS,182.54824700773224
Madeleine,msh5/ccw66,herm,HS,171.59838492597578
Madeleine,msh5/ccw66,herm,HS,173.72372881355932
Madeleine,msh5/ccw66,herm,HS,169.7653252431516
